"","org_id.x","org_name.x","org_abbr.x","relation.x","org_id.y","org_name.y","org_abbr.y","relation.y","fr_id","fr_name","fr_abbr","fr_subjects"
"23",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",947,"European Organisation for Nuclear Research (CERN), Geneva, Switzerland","CERN","collaborates_on",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"24",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1325,"India Alliance DBT Wellcome","IADW","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"25",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1812,"Medical Research Council","MdRC","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"26",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1908,"MS Society","MSSc","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"27",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",3259,"Worldwide Cancer Research","WrCR","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"29",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1166,"Global Biodiversity Information Facility","GBIF","collaborates_on",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"30",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",368,"Cancer Research UK Manchester Institute","CRUMI","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"31",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2766,"The Dunhill Medical Trust","TDMT","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"32",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2727,"Telethon Foundation","TltF","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"33",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",287,"Blood Cancer UK","BCUK","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"34",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",503,"Chief Scientist Office","ChSO","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"35",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1899,"Motor Neuron Disease Association","MNDA","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"36",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2373,"Prostate Cancer UK","PCUK","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"37",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",154,"Austrian Science Fund (FWF), Austria","FWF","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"38",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",21,"Action on Hearing Loss","AoHL","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"39",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2741,"The Academy of Medical Sciences","TAoMS","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"40",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2290,"Parkinson's Disease UK","P'DU","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"41",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",307,"Breast Cancer Now","BrCN","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"42",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",115,"Arthritis Research UK","ARUK","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"43",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1975,"National Centre for the Replacement, Refinement and Reduction of Animals in Research (NC3Rs), London, UK","NC3Rs","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"44",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",3252,"World Health Organization","WrHO","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"45",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2003,"National Institute for Health Research","NIfHR","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"46",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1924,"Myrovlytis Trust","MyrT","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"47",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",757,"Diabetes UK","DbUK","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"48",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2747,"The British Heart Foundation","TBHF","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"49",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2772,"The European Research Council","TERC","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"50",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",67,"Alzheimers Society","AlzS","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"51",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2854,"The Wellcome Trust","ThWT","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"52",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",278,"Biotechnology and Biological Sciences Research Council","BaBSRC","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"53",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1752,"Marie Curie","MrCr","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"55",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2684,"Swiss National Science Foundation","SNSF","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"56",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2614,"Species 2000 Secretariat, Naturalis Biodiversity Center","Sp2000","collaborates_on",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"57",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2712,"TDWG Consortium","TDWC","collaborates_on",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"58",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2682,"Swiss Institute of Bioinformatics","SIB","collaborates_on",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"59",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",947,"European Organisation for Nuclear Research (CERN), Geneva, Switzerland","CERN","collaborates_on",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"60",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",1325,"India Alliance DBT Wellcome","IADW","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"61",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",1812,"Medical Research Council","MdRC","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"62",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",1908,"MS Society","MSSc","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"63",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",3259,"Worldwide Cancer Research","WrCR","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"65",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",1166,"Global Biodiversity Information Facility","GBIF","collaborates_on",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"66",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",368,"Cancer Research UK Manchester Institute","CRUMI","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"67",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2766,"The Dunhill Medical Trust","TDMT","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"68",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2727,"Telethon Foundation","TltF","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"69",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",287,"Blood Cancer UK","BCUK","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"70",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",503,"Chief Scientist Office","ChSO","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"71",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",1899,"Motor Neuron Disease Association","MNDA","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"72",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2373,"Prostate Cancer UK","PCUK","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"73",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",154,"Austrian Science Fund (FWF), Austria","FWF","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"74",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",21,"Action on Hearing Loss","AoHL","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"75",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2741,"The Academy of Medical Sciences","TAoMS","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"76",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2290,"Parkinson's Disease UK","P'DU","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"77",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",307,"Breast Cancer Now","BrCN","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"78",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",115,"Arthritis Research UK","ARUK","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"79",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",1975,"National Centre for the Replacement, Refinement and Reduction of Animals in Research (NC3Rs), London, UK","NC3Rs","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"80",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",3252,"World Health Organization","WrHO","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"81",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2003,"National Institute for Health Research","NIfHR","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"82",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",1924,"Myrovlytis Trust","MyrT","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"83",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",757,"Diabetes UK","DbUK","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"84",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2747,"The British Heart Foundation","TBHF","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"85",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2772,"The European Research Council","TERC","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"86",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",67,"Alzheimers Society","AlzS","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"87",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",2854,"The Wellcome Trust","ThWT","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"88",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",278,"Biotechnology and Biological Sciences Research Council","BaBSRC","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"89",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","collaborates_on",1752,"Marie Curie","MrCr","funds",1848,"Europe PubMed Central","Europe PMC","Life Science| Biomedical Science"
"91",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",920,"European Commission FP7","ECFP","funds",1853,"Integrated relational Enzyme database","IntEnz","Bioinformatics| Enzymology"
"92",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2682,"Swiss Institute of Bioinformatics","SIB","maintains",1853,"Integrated relational Enzyme database","IntEnz","Bioinformatics| Enzymology"
"93",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1533,"International Union of Biochemistry and Molecular Biology","IUoBaMB","maintains",1853,"Integrated relational Enzyme database","IntEnz","Bioinformatics| Enzymology"
"95",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",278,"Biotechnology and Biological Sciences Research Council","BaBSRC","funds",1863,"PRoteomics IDEntifications database","PRIDE","Proteomics| Life Science"
"96",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",941,"European Molecular Biology Laboratory","EMBL","funds",1863,"PRoteomics IDEntifications database","PRIDE","Proteomics| Life Science"
"97",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2854,"The Wellcome Trust","ThWT","funds",1863,"PRoteomics IDEntifications database","PRIDE","Proteomics| Life Science"
"99",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",920,"European Commission FP7","ECFP","funds",1867,"Ensembl","Ensembl","Genomics| Biomedical Science| Comparative Genomics"
"100",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2854,"The Wellcome Trust","ThWT","funds",1867,"Ensembl","Ensembl","Genomics| Biomedical Science| Comparative Genomics"
"101",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2853,"The Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge, UK","TWTSIWTGCCU","maintains",1867,"Ensembl","Ensembl","Genomics| Biomedical Science| Comparative Genomics"
"103",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",941,"European Molecular Biology Laboratory","EMBL","funds",2156,"Database of Genomic Variants Archive","DGVa","Genomics"
"105",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2854,"The Wellcome Trust","ThWT","funds",2396,"Rfam","Rfam","Genetics"
"106",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1267,"Howard Hughes Medical Institute","HHMI","funds",2396,"Rfam","Rfam","Genetics"
"107",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",920,"European Commission FP7","ECFP","funds",2396,"Rfam","Rfam","Genetics"
"109",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",840,"ELIXIR Czech Republic","ELCR","funds",2679,"Complex Portal","CP","Functional Genomics| Structural Biology| Proteomics| Systems Biology"
"110",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",278,"Biotechnology and Biological Sciences Research Council","BaBSRC","funds",2679,"Complex Portal","CP","Functional Genomics| Structural Biology| Proteomics| Systems Biology"
"111",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1438,"Institute of Structural and Molecular Biology, University College London, London, UK","IoSaMBUCLLU","maintains",2679,"Complex Portal","CP","Functional Genomics| Structural Biology| Proteomics| Systems Biology"
"112",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2682,"Swiss Institute of Bioinformatics","SIB","maintains",2679,"Complex Portal","CP","Functional Genomics| Structural Biology| Proteomics| Systems Biology"
"113",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1912,"Multimodal and Functional Imaging Laboratory, Central European Institute of Technology (CEITEC), Brno, Czech Republic","CEITEC","maintains",2679,"Complex Portal","CP","Functional Genomics| Structural Biology| Proteomics| Systems Biology"
"114",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2035,"National Institutes of Health","NIoH","funds",2679,"Complex Portal","CP","Functional Genomics| Structural Biology| Proteomics| Systems Biology"
"115",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2267,"Chinese Governement Scholarship","ChGS","funds",2679,"Complex Portal","CP","Functional Genomics| Structural Biology| Proteomics| Systems Biology"
"117",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2854,"The Wellcome Trust","ThWT","funds",2737,"The International Genome Sample Resource","IGSR","Genomics| Comparative Genomics"
"119",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1998,"National Human Genome Research Institute","NHGRI","funds",2896,"Vertebrate Gene Nomenclature Committee","VGNC","Life Science| Ontology and Terminology"
"120",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2854,"The Wellcome Trust","ThWT","funds",2896,"Vertebrate Gene Nomenclature Committee","VGNC","Life Science| Ontology and Terminology"
"122",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2697,"Systems Microscopy Network of Excellence, European Union","SMNoEEU","funds",157,"Cellular Microscopy Phenotype Ontology","CMPO","Cell Biology"
"123",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",278,"Biotechnology and Biological Sciences Research Council","BaBSRC","funds",157,"Cellular Microscopy Phenotype Ontology","CMPO","Cell Biology"
"124",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",888,"EU FP7 BioMedBridges","EUFB","funds",157,"Cellular Microscopy Phenotype Ontology","CMPO","Cell Biology"
"126",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",178,"Baylor College of Medicine","BCoM","maintains",408,"proteomics BAM","proBAM","Genomics| Proteomics| Proteogenomics"
"127",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1396,"Institute for Systems Biology","IfSB","maintains",408,"proteomics BAM","proBAM","Genomics| Proteomics| Proteogenomics"
"128",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1420,"Institute of Systems, Molecular and Integrative Biology, University of Liverpool","IoSMaIBUoL","maintains",408,"proteomics BAM","proBAM","Genomics| Proteomics| Proteogenomics"
"129",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1290,"HUPO-PSI initiative; Proteomics informatics working group","HiPiwg","maintains",408,"proteomics BAM","proBAM","Genomics| Proteomics| Proteogenomics"
"130",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1152,"Ghent University","GhnU","maintains",408,"proteomics BAM","proBAM","Genomics| Proteomics| Proteogenomics"
"131",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",707,"Department of Epidemiology and Biostatistics, University of Texas Health Science Center at San Antonio","DoEaBUoTHSCaSA","maintains",408,"proteomics BAM","proBAM","Genomics| Proteomics| Proteogenomics"
"132",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2154,"New York University Grossman School of Medicine","NYUGSoM","maintains",408,"proteomics BAM","proBAM","Genomics| Proteomics| Proteogenomics"
"134",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1098,"GEN2PHEN","GEN2","funds",1498,"Experimental Factor Ontology","EFO","Functional Genomics"
"135",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",854,"EMERALD Publishing Limited, Bingley, UK","EPLBU","funds",1498,"Experimental Factor Ontology","EFO","Functional Genomics"
"136",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",941,"European Molecular Biology Laboratory","EMBL","maintains",1498,"Experimental Factor Ontology","EFO","Functional Genomics"
"137",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",915,"European Commission","ErpC","funds",1498,"Experimental Factor Ontology","EFO","Functional Genomics"
"138",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",3330,"Euro-BioImaging","E-BI","associated_with",2830,"BioImage Archive","BioImage Archive","Molecular biology| Clinical Studies| Life Science| Cell Biology| Biomedical Science| Preclinical Studies"
"140",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",3049,"University of Dundee, Scotland, UK","UoDSU","maintains",2830,"BioImage Archive","BioImage Archive","Molecular biology| Clinical Studies| Life Science| Cell Biology| Biomedical Science| Preclinical Studies"
"141",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",873,"EOSC-Life","EOSC","funds",2830,"BioImage Archive","BioImage Archive","Molecular biology| Clinical Studies| Life Science| Cell Biology| Biomedical Science| Preclinical Studies"
"143",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",920,"European Commission FP7","ECFP","funds",1588,"Expression Atlas","Expression Atlas","Proteomics| Transcriptomics"
"144",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2018,"National Institute of General Medical Sciences","NIoGMS","funds",1599,"IntAct molecular interaction database","IntAct","Biology"
"146",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2682,"Swiss Institute of Bioinformatics","SIB","maintains",1599,"IntAct molecular interaction database","IntAct","Biology"
"147",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",278,"Biotechnology and Biological Sciences Research Council","BaBSRC","funds",1599,"IntAct molecular interaction database","IntAct","Biology"
"148",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",1970,"National Center for Research Resources, National Institutes of Health","NCfRRNIoH","funds",1599,"IntAct molecular interaction database","IntAct","Biology"
"150",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",2914,"Unilever Centre for Molecular Science Informatics, Department of Chemistry, University of Cambridge Lensfield Road, Cambridge, CB2 1EW, UK","UCfMSIDoCUoCLRCC1U","maintains",1602,"Mechanism, Annotation and Classification in Enzymes","MACiE","Life Science"
"151",908,"European Bioinformatics Institute, Wellcome Genome Campus","EMBL-EBI","maintains",278,"Biotechnology and Biological Sciences Research Council","BaBSRC","funds",1602,"Mechanism, Annotation and Classification in Enzymes","MACiE","Life Science"
